,CVE_SUN,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,CVE_ENT_x,CVE_MUN_x,NOMGEO,CVE_ENT_y,NOM_ENT,CVE_MUN_y,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,POB_2018,mts_built_up_1975,mts_built_up_1980,mts_built_up_1985,mts_built_up_1990,mts_built_up_1995,mts_built_up_2000,mts_built_up_2005,mts_built_up_2010,mts_built_up_2015,mts_built_up_2020,density_1990,density_2000,density_2010,density_2020,built_up_parsed_1990,built_up_parsed_2000,built_up_parsed_2010,built_up_parsed_2020,poblation_change,surface_change
64,M30.01,91323.0,102992,112996,114416,30003,30,003,Acayucan,30,Veracruz de Ignacio de la Llave,30003,Acayucan,,,Acayucan,89732,5563019,5677528,5806789,5961792,6403292,7045106,7453405,8033253,8736647,9675163,0.00010943609155760891,0.00012341953222847756,0.00013540773519971503,0.00013710937936396505,0.007144259553008775,0.008442439092551273,0.00962657611788308,0.011594144124730792,1.2528716752625297,1.6228615490107672
65,M30.02,271825.0,307724,347257,355738,30039,30,039,Coatzacoalcos,30,Veracruz de Ignacio de la Llave,30039,Coatzacoalcos,,,Coatzacoalcos,335077,19633451,19843942,20140393,20458090,21845541,23952815,24632394,25613092,26737110,27388284,0.0005440535547220523,0.0006159048508168448,0.0006950295419925163,0.0007120041329889211,0.040946552330814574,0.04794119064232391,0.05126420950987938,0.05481722898165037,1.3087022900763359,1.3387507826977005
66,M30.03,237706.0,276553,316032,335950,30014,30,014,Amatlán de los Reyes,30,Veracruz de Ignacio de la Llave,30014,Amatlán de los Reyes,,,Córdoba,45984,4702887,6046953,7896580,10272502,11470971,13268055,14636539,16682132,19112341,21073814,0.0005135995229027294,0.0005975343022781019,0.0006828346125970541,0.0007258704438220824,0.0221952837800364,0.028667626050024705,0.03604425229569449,0.04553314100670937,1.4133004635978899,2.05147820852213
67,M30.04,311407.0,323389,356137,359228,30048,30,048,Cosoleacaque,30,Veracruz de Ignacio de la Llave,30048,Cosoleacaque,,,Minatitlán,131808,18353533,18858819,19445726,20103769,21524050,23625375,24966331,26892563,29508135,33332577,0.0001056950995965755,0.00010976192752069464,0.00012087697349457659,0.0001219260942685252,0.0068234492696745645,0.008018722647954108,0.009127643645429234,0.01131345809768413,1.153564306518479,1.658026263632456
68,M30.05,330649.0,383944,430121,465175,30022,30,022,Atzacan,30,Veracruz de Ignacio de la Llave,30022,Atzacan,,,Orizaba,21935,8633046,9841377,11349603,13149731,14293837,15915548,17540706,20027642,23243935,26926545,0.0005124735195288836,0.0005950755422880386,0.0006666453631896148,0.0007209756250490654,0.020380793307791845,0.024667538382970717,0.03104088076360276,0.04173350376049183,1.4068543984708861,2.0476878956687403
69,M30.06,445934.0,467258,513518,521530,30033,30,033,Cazones de Herrera,30,Veracruz de Ignacio de la Llave,30033,Cazones de Herrera,,,Poza Rica,24383,12625312,14424582,17363509,21282752,24045391,28376695,30773910,34298351,38678062,44258651,0.00015908269449722243,0.00016668982778927634,0.00018319264086798644,0.00018605084532943533,0.007592418462095623,0.0101231148589833,0.01223560906746627,0.015788850941825895,1.1695228441877048,2.0795548902698298
70,M30.07,580016.0,708400,834256,939046,30011,30,011,Alvarado,30,Veracruz de Ignacio de la Llave,30011,Alvarado,,,Veracruz,55324,31861374,32717617,34167667,35978780,38152131,41381332,44288512,49339890,55227888,59430266,0.0003054582081179423,0.000373070043982839,0.00043935054010862127,0.0004945368895001539,0.018947776732141288,0.021792963508340573,0.02598423903502038,0.03129820998098789,1.6190001655126756,1.6518143750288365
71,M30.08,461108.0,591053,711139,789157,30026,30,026,Banderilla,30,Veracruz de Ignacio de la Llave,30026,Banderilla,,,Xalapa,23940,17429595,18090405,19054262,20279302,22113019,24854933,27309933,31195525,35876476,39361455,0.0004208206050533609,0.0005394122007829058,0.000649006185659416,0.0007202076871841199,0.018507482276819816,0.02268333653638789,0.02846994566448044,0.035922411471673965,1.7114363663176522,1.9409669524128592
72,M31.01,688995.0,873423,1053519,1316088,31002,31,002,Acanceh,31,Yucatán,31002,Acanceh,,,Mérida,17279,59746092,61454859,63902099,66929065,69324771,73278309,77355438,84353418,93130629,99628794,0.00022520187609750977,0.00028548320122310795,0.0003443485878770853,0.00043017073666633206,0.02187613988991528,0.023951425865286445,0.027571387294301773,0.03256422952580545,1.9101560969237803,1.488572924184732
73,M32.01,206028.0,249948,319013,384830,32017,32,017,Guadalupe,32,Zacatecas,32017,Guadalupe,,,Zacatecas-Guadalupe,188517,9795198,10380681,11062757,11849484,13583565,16452702,18467309,21290418,25008986,31447314,0.00011265548660616489,0.00013667080962897132,0.00017443534251991225,0.00021042387884486787,0.006479261974352832,0.008996287639525804,0.011641536101105927,0.01719529608173094,1.8678529131962647,2.6538973342636694
